Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Eczema,Dermatological,"Dryness, Red patches, Swelling, Itchy skin",Teen,Any,Mild,Dermatologist,Consultation and standard treatment protocols
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion",Teen,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Elderly,Male,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Hair thinning, Acne",Elderly,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Chest tightness, Wheezing, Shortness of breath",Adult,Male,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Vision problems, Confusion",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Body aches, Cough, Chills, Fever",Child,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss, Mood swings, Poor judgment",Child,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea, Shortness of breath",Adult,Male,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Heart Attack,Emergency Care,"Sweating, Nausea",Child,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Frequent urination, Increased thirst",Teen,Any,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Child,Male,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Elderly,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Loss of appetite, Nausea",Adult,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Wheezing",Adult,Female,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Child,Male,Mild,Dermatologist,Consultation and standard treatment protocols
PCOS,Chronic Disorder,"Irregular periods, Acne",Child,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain, Shortness of breath",Elderly,Any,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Adult,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Dryness, Swelling, Itchy skin, Red patches",Child,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Frequent urination, Blurred vision",Teen,Male,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion, Poor judgment",Teen,Male,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Fatigue, Cough, Weight loss",Elderly,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Elderly,Any,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Diabetes,Chronic Illness,"Blurred vision, Fatigue",Elderly,Male,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Itchy skin, Red patches",Adult,Male,Severe,Dermatologist,Consultation and standard treatment protocols
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Cough, Chest tightness",Child,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats, Cough",Child,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain",Adult,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Eczema,Dermatological,"Dryness, Red patches, Swelling",Child,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Sweating, Nausea",Adult,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss, Fatigue",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Confusion, Mood swings",Elderly,Female,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Red patches, Itchy skin",Adult,Male,Mild,Dermatologist,Consultation and standard treatment protocols
Diabetes,Chronic Illness,"Fatigue, Frequent urination",Adult,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Adult,Any,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Sweating, Chest pain",Teen,Any,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Wheezing, Shortness of breath, Chest tightness, Cough",Child,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain",Elderly,Female,Mild,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Body aches, Cough, Sore throat",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Weight gain, Irregular periods",Elderly,Female,Severe,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Adult,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Child,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Confusion, Mood swings, Poor judgment",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Weight loss, Fatigue, Cough",Teen,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings",Adult,Female,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking, Confusion",Teen,Female,Severe,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion, Mood swings",Child,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Tuberculosis,Rare Diseases,"Cough, Fatigue",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Cough, Night sweats, Weight loss",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Vomiting",Adult,Female,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Cough",Elderly,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Hair thinning, Weight gain, Acne",Adult,Female,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea, Chest pain",Child,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Adult,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Weight loss, Cough",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
