Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist
Appendicitis,Surgical Conditions,"Vomiting, Loss of appetite, Nausea, Abdominal pain",Adult,Female,Mild,Surgeon
Eczema,Dermatological,"Itchy skin, Red patches",Adult,Any,Severe,Dermatologist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings",Teen,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough, Fatigue",Teen,Female,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Elderly,Female,Moderate,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst",Child,Any,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Shortness of breath, Chest pain",Adult,Female,Mild,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Acne",Adult,Male,Moderate,Gynecologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst",Child,Female,Mild,Endocrinologist
Eczema,Dermatological,"Swelling, Dryness, Red patches, Itchy skin",Teen,Male,Severe,Dermatologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion",Child,Any,Severe,Neurologist
PCOS,Chronic Disorder,"Hair thinning, Acne, Weight gain",Elderly,Male,Severe,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Teen,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst, Frequent urination",Adult,Female,Severe,Endocrinologist
Eczema,Dermatological,"Red patches, Dryness, Itchy skin",Teen,Any,Moderate,Dermatologist
Flu,Common Illnesses,"Sore throat, Chills, Cough, Body aches",Adult,Female,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Child,Male,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Wheezing",Elderly,Female,Moderate,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness",Teen,Female,Moderate,Pulmonologist
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Adult,Male,Severe,Pulmonologist
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Teen,Male,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Poor judgment",Child,Female,Moderate,Neurologist
Asthma,Chronic Illness,"Cough, Chest tightness",Elderly,Any,Moderate,Pulmonologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Frequent urination",Elderly,Any,Moderate,Endocrinologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss, Confusion",Teen,Female,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Child,Any,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment",Elderly,Male,Severe,Neurologist
Eczema,Dermatological,"Swelling, Red patches",Elderly,Any,Severe,Dermatologist
PCOS,Chronic Disorder,"Irregular periods, Hair thinning",Elderly,Female,Mild,Gynecologist
Eczema,Dermatological,"Itchy skin, Red patches, Dryness, Swelling",Child,Male,Mild,Dermatologist
Flu,Common Illnesses,"Body aches, Sore throat",Teen,Female,Moderate,General Physician
PCOS,Chronic Disorder,"Irregular periods, Acne, Weight gain",Child,Female,Moderate,Gynecologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Elderly,Any,Mild,Endocrinologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats",Teen,Any,Mild,Infectious Disease Specialist
Diabetes,Chronic Illness,"Increased thirst, Fatigue, Frequent urination",Elderly,Male,Mild,Endocrinologist
Stroke,Specialized Chronic Diseases,"Confusion, Trouble walking",Child,Male,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting",Adult,Any,Severe,Surgeon
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness",Child,Male,Moderate,Pulmonologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Hair thinning",Elderly,Any,Severe,Gynecologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision, Increased thirst",Adult,Female,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting",Child,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking, Vision problems",Elderly,Female,Moderate,Neurologist
Eczema,Dermatological,"Itchy skin, Swelling, Dryness",Child,Any,Moderate,Dermatologist
Tuberculosis,Rare Diseases,"Cough, Fatigue",Elderly,Female,Moderate,Infectious Disease Specialist
Eczema,Dermatological,"Itchy skin, Swelling, Red patches, Dryness",Teen,Female,Mild,Dermatologist
Eczema,Dermatological,"Red patches, Itchy skin, Dryness, Swelling",Elderly,Female,Mild,Dermatologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing",Teen,Female,Severe,Pulmonologist
Asthma,Chronic Illness,"Cough, Chest tightness, Shortness of breath",Child,Male,Severe,Pulmonologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion",Elderly,Any,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion",Child,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Cough, Weight loss, Fatigue",Teen,Any,Severe,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment",Elderly,Any,Mild,Neurologist
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite",Adult,Male,Mild,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Memory loss",Adult,Any,Severe,Neurologist
Flu,Common Illnesses,"Chills, Sore throat, Body aches, Cough",Adult,Any,Moderate,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Teen,Female,Mild,Surgeon
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Wheezing",Elderly,Male,Severe,Pulmonologist
Flu,Common Illnesses,"Sore throat, Body aches, Fever",Child,Any,Mild,General Physician
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Elderly,Female,Severe,Pulmonologist
Asthma,Chronic Illness,"Shortness of breath, Wheezing, Chest tightness",Child,Female,Moderate,Pulmonologist
Eczema,Dermatological,"Swelling, Dryness",Adult,Female,Moderate,Dermatologist
Heart Attack,Emergency Care,"Sweating, Nausea, Shortness of breath, Chest pain",Child,Male,Severe,Cardiologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness",Elderly,Male,Severe,Neurologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Wheezing",Child,Any,Severe,Pulmonologist
PCOS,Chronic Disorder,"Hair thinning, Acne, Irregular periods",Teen,Female,Mild,Gynecologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems",Elderly,Male,Severe,Neurologist
Appendicitis,Surgical Conditions,"Loss of appetite, Vomiting, Abdominal pain",Elderly,Male,Severe,Surgeon
PCOS,Chronic Disorder,"Irregular periods, Hair thinning",Elderly,Male,Mild,Gynecologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion",Elderly,Male,Moderate,Neurologist
Diabetes,Chronic Illness,"Increased thirst, Frequent urination",Child,Female,Moderate,Endocrinologist
PCOS,Chronic Disorder,"Weight gain, Irregular periods, Acne, Hair thinning",Child,Male,Moderate,Gynecologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Teen,Female,Mild,Infectious Disease Specialist
Eczema,Dermatological,"Red patches, Dryness, Swelling",Child,Female,Moderate,Dermatologist
Asthma,Chronic Illness,"Cough, Chest tightness",Elderly,Any,Mild,Pulmonologist
PCOS,Chronic Disorder,"Acne, Irregular periods, Weight gain",Teen,Male,Severe,Gynecologist
Tuberculosis,Rare Diseases,"Night sweats, Fatigue",Elderly,Male,Moderate,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Night sweats, Cough",Teen,Male,Moderate,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite, Vomiting",Adult,Any,Mild,Surgeon
Asthma,Chronic Illness,"Chest tightness, Cough, Shortness of breath, Wheezing",Elderly,Any,Moderate,Pulmonologist
Appendicitis,Surgical Conditions,"Loss of appetite, Nausea, Abdominal pain, Vomiting",Child,Male,Severe,Surgeon
Heart Attack,Emergency Care,"Sweating, Chest pain",Child,Female,Mild,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Memory loss, Confusion",Elderly,Any,Severe,Neurologist
Flu,Common Illnesses,"Fever, Body aches, Chills",Child,Any,Severe,General Physician
Asthma,Chronic Illness,"Cough, Wheezing, Chest tightness, Shortness of breath",Teen,Female,Mild,Pulmonologist
Tuberculosis,Rare Diseases,"Weight loss, Cough",Adult,Any,Mild,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion",Adult,Any,Severe,Neurologist
Eczema,Dermatological,"Dryness, Swelling, Red patches",Adult,Female,Severe,Dermatologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating, Chest pain",Adult,Female,Severe,Cardiologist
Tuberculosis,Rare Diseases,"Fatigue, Weight loss, Night sweats",Child,Male,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Confusion, Memory loss, Poor judgment",Child,Female,Moderate,Neurologist
Diabetes,Chronic Illness,"Fatigue, Blurred vision",Elderly,Male,Moderate,Endocrinologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Blurred vision",Teen,Male,Moderate,Endocrinologist
Heart Attack,Emergency Care,"Nausea, Sweating, Shortness of breath",Adult,Any,Severe,Cardiologist
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Vomiting, Nausea",Elderly,Any,Moderate,Surgeon
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough",Adult,Any,Moderate,Infectious Disease Specialist
Asthma,Chronic Illness,"Wheezing, Cough, Chest tightness, Shortness of breath",Teen,Female,Moderate,Pulmonologist
Flu,Common Illnesses,"Cough, Fever, Chills",Teen,Any,Moderate,General Physician
Heart Attack,Emergency Care,"Sweating, Shortness of breath",Teen,Male,Moderate,Cardiologist
Eczema,Dermatological,"Red patches, Dryness",Elderly,Any,Mild,Dermatologist
Eczema,Dermatological,"Dryness, Red patches, Swelling",Adult,Any,Moderate,Dermatologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion, Vision problems",Adult,Any,Moderate,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings",Teen,Any,Severe,Neurologist
Heart Attack,Emergency Care,"Shortness of breath, Sweating",Child,Male,Severe,Cardiologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain, Sweating",Child,Male,Moderate,Cardiologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea",Child,Male,Severe,Cardiologist
Asthma,Chronic Illness,"Chest tightness, Cough, Wheezing, Shortness of breath",Teen,Male,Severe,Pulmonologist
Heart Attack,Emergency Care,"Sweating, Nausea, Chest pain, Shortness of breath",Elderly,Female,Moderate,Cardiologist
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Confusion, Mood swings, Memory loss",Adult,Female,Mild,Neurologist
Flu,Common Illnesses,"Fever, Cough, Chills",Child,Male,Mild,General Physician
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Nausea",Teen,Female,Moderate,Surgeon
Flu,Common Illnesses,"Chills, Cough",Elderly,Female,Moderate,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Cough, Weight loss",Teen,Female,Moderate,Infectious Disease Specialist
Tuberculosis,Rare Diseases,"Cough, Weight loss, Night sweats",Child,Male,Mild,Infectious Disease Specialist
Flu,Common Illnesses,"Sore throat, Chills",Child,Male,Severe,General Physician
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough, Weight loss",Elderly,Male,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Child,Male,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Numbness, Confusion",Child,Any,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Male,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Confusion",Teen,Female,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Trouble walking",Elderly,Any,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Confusion, Numbness",Adult,Female,Severe,Neurologist
Diabetes,Chronic Illness,"Blurred vision, Increased thirst",Teen,Male,Moderate,Endocrinologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Vision problems, Confusion, Numbness",Child,Male,Severe,Neurologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Fatigue",Adult,Any,Severe,Endocrinologist
Diabetes,Chronic Illness,"Blurred vision, Fatigue, Increased thirst, Frequent urination",Elderly,Male,Moderate,Endocrinologist
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue",Adult,Male,Moderate,Infectious Disease Specialist
Stroke,Specialized Chronic Diseases,"Trouble walking, Confusion, Numbness, Vision problems",Child,Male,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Child,Female,Severe,Surgeon
Diabetes,Chronic Illness,"Increased thirst, Frequent urination, Fatigue",Adult,Male,Severe,Endocrinologist
Tuberculosis,Rare Diseases,"Weight loss, Fatigue",Elderly,Any,Moderate,Infectious Disease Specialist
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Confusion, Memory loss",Teen,Any,Moderate,Neurologist
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough",Elderly,Any,Severe,Infectious Disease Specialist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting",Child,Any,Severe,Surgeon
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Adult,Female,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Numbness, Confusion",Child,Female,Mild,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite, Nausea",Elderly,Female,Mild,Surgeon
Appendicitis,Surgical Conditions,"Nausea, Vomiting",Adult,Female,Moderate,Surgeon
Alzheimer’s,Specialized Chronic Diseases,"Poor judgment, Mood swings, Confusion, Memory loss",Adult,Female,Severe,Neurologist
Heart Attack,Emergency Care,"Chest pain, Shortness of breath, Nausea, Sweating",Adult,Male,Mild,Cardiologist
Flu,Common Illnesses,"Cough, Chills, Sore throat, Body aches",Child,Any,Moderate,General Physician
Heart Attack,Emergency Care,"Sweating, Chest pain, Nausea, Shortness of breath",Teen,Female,Mild,Cardiologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea",Child,Male,Moderate,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion",Child,Any,Mild,Neurologist
Alzheimer’s,Specialized Chronic Diseases,"Confusion, Memory loss",Child,Female,Moderate,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness",Elderly,Male,Moderate,Neurologist
Eczema,Dermatological,"Itchy skin, Swelling",Adult,Female,Moderate,Dermatologist
Flu,Common Illnesses,"Sore throat, Fever",Teen,Any,Mild,General Physician
Heart Attack,Emergency Care,"Sweating, Shortness of breath, Chest pain",Elderly,Any,Severe,Cardiologist
Tuberculosis,Rare Diseases,"Fatigue, Cough",Teen,Female,Moderate,Infectious Disease Specialist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination",Teen,Male,Severe,Endocrinologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Numbness, Trouble walking",Teen,Female,Severe,Neurologist
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Chest pain",Adult,Female,Moderate,Cardiologist
Flu,Common Illnesses,"Fever, Chills",Elderly,Any,Moderate,General Physician
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Confusion",Elderly,Any,Severe,Neurologist
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Severe,Cardiologist
PCOS,Chronic Disorder,"Weight gain, Acne, Hair thinning, Irregular periods",Elderly,Male,Mild,Gynecologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting, Loss of appetite, Nausea",Child,Female,Moderate,Surgeon
Asthma,Chronic Illness,"Cough, Shortness of breath, Wheezing, Chest tightness",Adult,Female,Mild,Pulmonologist
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Elderly,Male,Severe,Endocrinologist
Flu,Common Illnesses,"Chills, Cough, Fever, Body aches",Child,Male,Mild,General Physician
Eczema,Dermatological,"Dryness, Itchy skin",Adult,Female,Moderate,Dermatologist
Asthma,Chronic Illness,"Shortness of breath, Cough, Chest tightness, Wheezing",Elderly,Female,Mild,Pulmonologist
Tuberculosis,Rare Diseases,"Cough, Fatigue",Child,Male,Severe,Infectious Disease Specialist
Diabetes,Chronic Illness,"Frequent urination, Fatigue",Adult,Male,Severe,Endocrinologist
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting",Elderly,Male,Mild,Surgeon
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness, Confusion",Teen,Female,Mild,Neurologist
Eczema,Dermatological,"Swelling, Itchy skin, Dryness",Child,Male,Moderate,Dermatologist
Flu,Common Illnesses,"Fever, Sore throat, Chills, Cough",Teen,Female,Moderate,General Physician
Flu,Common Illnesses,"Body aches, Cough, Fever",Teen,Any,Moderate,General Physician
Stroke,Specialized Chronic Diseases,"Numbness, Confusion, Trouble walking",Child,Female,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Confusion, Trouble walking, Numbness",Child,Any,Moderate,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Vomiting",Child,Female,Mild,Surgeon
Asthma,Chronic Illness,"Cough, Chest tightness, Wheezing",Elderly,Female,Mild,Pulmonologist
Diabetes,Chronic Illness,"Frequent urination, Increased thirst, Blurred vision, Fatigue",Teen,Female,Mild,Endocrinologist
Stroke,Specialized Chronic Diseases,"Numbness, Vision problems, Trouble walking, Confusion",Adult,Male,Mild,Neurologist
Stroke,Specialized Chronic Diseases,"Trouble walking, Numbness, Confusion",Adult,Male,Severe,Neurologist
Stroke,Specialized Chronic Diseases,"Vision problems, Numbness",Child,Male,Mild,Neurologist
Appendicitis,Surgical Conditions,"Abdominal pain, Nausea, Vomiting, Loss of appetite",Child,Any,Moderate,Surgeon
Heart Attack,Emergency Care,"Shortness of breath, Sweating, Nausea",Adult,Female,Mild,Cardiologist
Asthma,Chronic Illness,"Cough, Shortness of breath, Chest tightness, Wheezing",Adult,Female,Severe,Pulmonologist
Asthma,Chronic Illness,"Wheezing, Shortness of breath",Elderly,Any,Severe,Pulmonologist
